Seq_ID	Mt_Cmt127.A_Junction_Hap_2	Mt_Cmt139.X_Junction_Hap_26	Mt_Cmt139.X_Junction_Hap_27	Mt_Cmt139.X_Junction_Hap_38	Mt_Cmt139.X_Junction_Hap_56	Mt_Cmt154.A_Junction_Hap_3	Mt_Cmt154.B_Junction_Hap_4	Mt_Cmt154.C_Junction_Hap_5	Mt_Cmt154.E_Junction_Hap_7	Mt_Cmt154.X_Junction_Hap_59	Mt_Cmt169.A_Junction_Hap_8	Mt_Cmt169.B_Junction_Hap_9	Mt_Cmt169.C_Junction_Hap_10	Mt_Cmt169.X_Junction_Hap_36	Mt_Cmt169.X_Junction_Hap_43	Mt_Cmt169.X_Junction_Hap_60	Mt_Cmt184.A_Junction_Hap_11	Mt_Cmt184.B_Junction_Hap_12	Mt_Cmt184.C_Junction_Hap_13	Mt_Cmt184.D_Junction_Hap_14	Mt_Cmt184.F_Junction_Hap_16	Mt_Cmt184.X_Junction_Hap_34	Mt_Cmt184.X_Junction_Hap_39	Mt_Cmt184.X_Junction_Hap_61	Mt_Cmt199.A_Junction_Hap_17	Mt_Cmt199.B_Junction_Hap_18	Mt_Cmt199.C_Junction_Hap_19	Mt_Cmt199.X_Junction_Hap_23	Mt_Cmt199.X_Junction_Hap_29	Mt_Cmt199.X_Junction_Hap_30	Mt_Cmt199.X_Junction_Hap_31	Mt_Cmt199.X_Junction_Hap_32	Mt_Cmt199.X_Junction_Hap_58	Mt_Cmt214.X_Junction_Hap_25	Mt_Cmt214.X_Junction_Hap_28	Mt_Cmt214.X_Junction_Hap_57	Mt_Cmt229.X_Junction_Hap_62	Mt_MSR_PART_A_Hap_1	Mt_MSR_PART_A_Hap_2	Mt_MSR_PART_A_Hap_3	Mt_MSR_PART_B_Hap_1	Mt_MSR_PART_B_Hap_2	Mt_MSR_PART_B_Hap_24	Mt_MSR_PART_B_Hap_25	Mt_MSR_PART_C_Hap_1	Mt_MSR_PART_C_Hap_18	Mt_MSR_PART_D_Hap_1	Mt_MSR_PART_D_Hap_14	Mt_MSR_PART_E_Hap_1	Mt_MSR_PART_E_Hap_2	Mt_MSR_PART_F_Hap_1	Mt_MSR_PART_F_Hap_2	Nu_360i2_PART_A_Hap_1	Nu_360i2_PART_A_Hap_10	Nu_360i2_PART_A_Hap_11	Nu_360i2_PART_A_Hap_3	Nu_360i2_PART_A_Hap_4	Nu_360i2_PART_A_Hap_6	Nu_360i2_PART_B_Hap_1	Nu_360i2_PART_B_Hap_13	Nu_360i2_PART_B_Hap_14	Nu_360i2_PART_B_Hap_15	Nu_360i2_PART_B_Hap_3	Nu_360i2_PART_B_Hap_4	Nu_360i2_PART_B_Hap_8	Nu_360i2_PART_C_Hap_1	Nu_360i2_PART_C_Hap_11	Nu_360i2_PART_C_Hap_12	Nu_360i2_PART_C_Hap_2	Nu_360i2_PART_C_Hap_3	Nu_360i2_PART_C_Hap_4	Nu_360i2_PART_D_Hap_1	Nu_360i2_PART_D_Hap_13	Nu_360i2_PART_D_Hap_14	Nu_360i2_PART_D_Hap_2	Nu_360i2_PART_D_Hap_3	Nu_360i2_PART_D_Hap_5	Nu_360i2_PART_E_Hap_1	Nu_360i2_PART_E_Hap_2	Nu_360i2_PART_E_Hap_3	Nu_360i2_PART_E_Hap_5	Nu_360i2_PART_E_Hap_6	Nu_360i2_PART_E_Hap_8	Nu_360i2_PART_F_Hap_1	Nu_360i2_PART_F_Hap_3	Nu_360i2_PART_F_Hap_6	Nu_378_PART_A_Hap_10	Nu_378_PART_A_Hap_11	Nu_378_PART_A_Hap_12	Nu_378_PART_A_Hap_13	Nu_378_PART_A_Hap_2	Nu_378_PART_A_Hap_4	Nu_378_PART_A_Hap_5	Nu_378_PART_A_Hap_6	Nu_378_PART_A_Hap_7	Nu_378_PART_A_Hap_8	Nu_378_PART_B_Hap_1	Nu_378_PART_B_Hap_2	Nu_378_PART_B_Hap_7	Nu_378_PART_B_Hap_8	Nu_378_PART_C_Hap_1	Nu_378_PART_C_Hap_10	Nu_378_PART_C_Hap_11	Nu_378_PART_C_Hap_2	Nu_378_PART_C_Hap_4	Nu_378_PART_C_Hap_5	Nu_378_PART_C_Hap_9	Nu_378_PART_D_Hap_10	Nu_378_PART_D_Hap_11	Nu_378_PART_D_Hap_14	Nu_378_PART_D_Hap_2	Nu_378_PART_D_Hap_3	Nu_378_PART_D_Hap_4	Nu_378_PART_D_Hap_5	Nu_378_PART_D_Hap_6	Nu_378_PART_D_Hap_7	Nu_378_PART_D_Hap_8	Nu_378_PART_D_Hap_9	Nu_CDS1_PART_A_Hap_1	Nu_CDS1_PART_A_Hap_2	Nu_CDS1_PART_A_Hap_4	Nu_CDS1_PART_A_Hap_5	Nu_CDS1_PART_B_Hap_1	Nu_CDS1_PART_B_Hap_2	Nu_CDS1_PART_B_Hap_4	Nu_CDS1_PART_B_Hap_7	Nu_CDS1_PART_B_Hap_8	Nu_CDS1_PART_B_Hap_9	Nu_CDS2_PART_A_Hap_1	Nu_CDS2_PART_A_Hap_2	Nu_CDS2_PART_A_Hap_4	Nu_CDS2_PART_A_Hap_7	Nu_CDS2_PART_A_Hap_8	Nu_CDS2_PART_A_Hap_9	Nu_CDS2_PART_B_Hap_1	Nu_CDS2_PART_B_Hap_3	Nu_CDS2_PART_B_Hap_5	Nu_CDS3_PART_A_Hap_1	Nu_CDS3_PART_A_Hap_10	Nu_CDS3_PART_A_Hap_11	Nu_CDS3_PART_A_Hap_12	Nu_CDS3_PART_A_Hap_2	Nu_CDS3_PART_A_Hap_3	Nu_CDS3_PART_A_Hap_5	Nu_CDS3_PART_A_Hap_9	Nu_CDS3_PART_B_Hap_1	Nu_CDS3_PART_B_Hap_10	Nu_CDS3_PART_B_Hap_11	Nu_CDS3_PART_B_Hap_6	Nu_CDS3_PART_B_Hap_9	Nu_CDS4_PART_A_Hap_1	Nu_CDS4_PART_A_Hap_2	Nu_CDS4_PART_A_Hap_3	Nu_CDS4_PART_A_Hap_4	Nu_CDS4_PART_A_Hap_5	Nu_CDS4_PART_A_Hap_6	Nu_CDS4_PART_A_Hap_7	Nu_CDS4_PART_B_Hap_1	Nu_CDS4_PART_B_Hap_2	Nu_CDS4_PART_B_Hap_3	Nu_CDS4_PART_B_Hap_4	Nu_CDS4_PART_B_Hap_5	Nu_CDS4_PART_B_Hap_6	Nu_CDS4_PART_B_Hap_7	Nu_CDS4_PART_B_Hap_8
C_WI122_18											X																											X			X				X		X		X		X		X						X							X			X			X						X														X	X				X	X						X							X		X						X				X						X						X			X								X																			
C_WI123_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																																																				
C_WI125_18											X																											X			X				X		X		X		X		X						X							X			X			X						X														X	X				X	X						X							X		X						X				X															X								X																			
C_WI128_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																									X								X																			
C_WI129_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
C_WI131_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X									X								X					X														
C_WI133_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
C_WI134_18											X																											X			X				X		X		X		X																																									X	X				X	X						X							X		X																X						X																														
C_WI135_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																X									X								X					X														
C_WI138_18											X																											X			X				X		X		X		X		X						X							X			X			X						X														X	X				X	X						X							X		X																									X								X																			
C_WI150_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X									X				X	X						X							X		X						X				X																																										
C_WI159_18											X																											X			X				X		X		X		X		X						X				X			X						X						X						X								X	X				X	X						X							X		X						X				X															X								X																			
C_WI172_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X																			
C_WI173_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X															X																											
C_WI177_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X									X								X					X														
C_WI178_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
C_WI187_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_WI194_18																									X													X			X				X		X		X		X		X						X							X						X						X						X								X	X				X	X						X									X			X								X					X																																				
C_WI197_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_WI198_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_WI200_18																									X													X			X				X		X		X		X																																										X					X						X												X																						X								X																			
C_WI208_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
S_MN002_18																																						X			X				X		X		X		X		X						X							X			X			X						X														X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
S_MN003_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
S_MN015_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
S_MN020_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
S_MN023_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
S_MN024_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
S_MN026_18											X																											X			X				X		X		X		X																																																																				X				X						X						X			X								X					X							X							
